"Market-wise, Commodity-wise Daily Report on: 19-Dec-2025"

Commodity,Arrivals,Unit of Arrivals,Variety,Grade,Minimum Price,Maximum Price,Modal Price,Unit of Price
State Name : Maharashtra
Market Name : ACF Agro Marketing  APMC
Arhar(Tur/Red Gram)(Whole),31.2,Metric Tonnes,Other,Non-FAQ,6200.0,6930.0,6700.0,Rs./Quintal
Bengal Gram(Gram)(Whole),3.5,Metric Tonnes,Kabul Small,Non-FAQ,4400.0,4400.0,4400.0,Rs./Quintal
Bengal Gram(Gram)(Whole),39.2,Metric Tonnes,Other,Non-FAQ,5000.0,5200.0,5075.0,Rs./Quintal
Black Gram(Urd Beans)(Whole),3.0,Metric Tonnes,Other,Non-FAQ,3980.0,5000.0,4935.0,Rs./Quintal
Cotton,208.7,Metric Tonnes,Desi,Local,7789.0,8010.0,7899.0,Rs./Quintal
Garlic,2.0,Metric Tonnes,Other,Local,6000.0,17000.0,12000.0,Rs./Quintal
Ginger(Green),14.0,Metric Tonnes,Other,Local,3000.0,4500.0,3800.0,Rs./Quintal
Green Gram(Moong)(Whole),1.4,Metric Tonnes,Green (Whole),Non-FAQ,5500.0,6200.0,6155.0,Rs./Quintal
Jowar(Sorghum),8.9,Metric Tonnes,Other,Non-FAQ,2040.0,2385.0,2175.0,Rs./Quintal
Maize,0.5,Metric Tonnes,Yellow,Non-FAQ,1650.0,1950.0,1800.0,Rs./Quintal
Onion,133.0,Metric Tonnes,Other,Local,600.0,2000.0,1400.0,Rs./Quintal
Potato,179.0,Metric Tonnes,Other,Local,500.0,1200.0,900.0,Rs./Quintal
"Sesamum(Sesame,Gingelly,Til)",0.5,Metric Tonnes,Other,Non-FAQ,8625.0,9500.0,9000.0,Rs./Quintal
Soyabean,337.7,Metric Tonnes,Yellow,Non-FAQ,4000.0,4610.0,4500.0,Rs./Quintal
Wheat,2.8,Metric Tonnes,Other,FAQ,2450.0,2545.0,2495.0,Rs./Quintal
Market Name : Akola(Borgaon Manju) APMC
Not Reported
Market Name : Akole APMC
Not Reported
Market Name : Akot APMC
Not Reported
Market Name : Alibagh APMC
Rice,1.0,Metric Tonnes,Other,Local,2500.0,2700.0,2600.0,Rs./Quintal
Market Name : All India Cottonseed Crushers Association APMC
Not Reported
Market Name : Amalner APMC
Not Reported
Market Name : Amarawati APMC
Arhar(Tur/Red Gram)(Whole),33.0,Metric Tonnes,Other,Non-FAQ,6500.0,6802.0,6651.0,Rs./Quintal
Bajra(Pearl Millet/Cumbu),0.1,Metric Tonnes,Other,Non-FAQ,2200.0,2600.0,2400.0,Rs./Quintal
Bengal Gram(Gram)(Whole),35.7,Metric Tonnes,Other,Non-FAQ,4700.0,5100.0,4900.0,Rs./Quintal
Black Gram(Urd Beans)(Whole),0.1,Metric Tonnes,Other,Non-FAQ,6500.0,7000.0,6750.0,Rs./Quintal
Cotton,7.5,Metric Tonnes,Other,Local,7200.0,7450.0,7325.0,Rs./Quintal
Green Gram(Moong)(Whole),0.1,Metric Tonnes,Other,Non-FAQ,6500.0,7000.0,6750.0,Rs./Quintal
Jowar(Sorghum),1.0,Metric Tonnes,Other,Local,1500.0,1900.0,1700.0,Rs./Quintal
Maize,65.4,Metric Tonnes,Deshi Red,Non-FAQ,1650.0,1725.0,1687.0,Rs./Quintal
"Sesamum(Sesame,Gingelly,Til)",0.6,Metric Tonnes,White,Non-FAQ,8000.0,9000.0,8500.0,Rs./Quintal
Soyabean,523.8,Metric Tonnes,Other,Local,4000.0,4400.0,4200.0,Rs./Quintal
Wheat,1.3,Metric Tonnes,Other,FAQ,2500.0,3000.0,2750.0,Rs./Quintal
Market Name : Ambad (Vadigodri) APMC
Not Reported
Market Name : Ambejaogai APMC
Not Reported
Market Name : Amgaon APMC
Paddy(Common),10.6,Metric Tonnes,Other,Non-FAQ,1900.0,1950.0,1925.0,Rs./Quintal
Market Name : Amrawati(Frui & Veg. Market) APMC
Beetroot,3.8,Metric Tonnes,Other,Local,1600.0,1800.0,1700.0,Rs./Quintal
Bhindi(Ladies Finger),6.8,Metric Tonnes,Other,Local,3500.0,4000.0,3750.0,Rs./Quintal
Bitter gourd,6.9,Metric Tonnes,Other,Local,2500.0,3000.0,2750.0,Rs./Quintal
Brinjal,10.8,Metric Tonnes,Other,Local,2000.0,2500.0,2250.0,Rs./Quintal
Cabbage,12.0,Metric Tonnes,Other,Local,1000.0,1200.0,1100.0,Rs./Quintal
Carrot,10.7,Metric Tonnes,Other,Local,1200.0,1800.0,1500.0,Rs./Quintal
Cauliflower,7.8,Metric Tonnes,Other,Local,2500.0,3000.0,2750.0,Rs./Quintal
Chilly Capsicum,1.8,Metric Tonnes,Other,Local,3500.0,4000.0,3750.0,Rs./Quintal
Coriander(Leaves),13.6,Bundle,Other,Local,600.0,700.0,650.0,Rs./Bundle
Cucumbar(Kheera),7.8,Metric Tonnes,Other,Local,1000.0,1500.0,1250.0,Rs./Quintal
Garlic,0.1,Metric Tonnes,Other,Local,10000.0,22000.0,16000.0,Rs./Quintal
Ginger(Green),13.6,Metric Tonnes,Other,Local,3000.0,7000.0,5000.0,Rs./Quintal
